longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,household_rooms
-122.23,37.88,41.0,6.78105762593618,4.867534450455582,5.777652323222656,4.844187086458591,8.3252,452600.0,NEAR BAY,1.3998339669605049
-122.22,37.86,21.0,8.867850063029406,7.009408932708637,7.784057002639929,7.037905963447182,8.3014,358500.0,NEAR BAY,1.2600125817375818
-122.24,37.85,52.0,7.291656209174461,5.25227342804663,6.208590026096629,5.181783550292085,7.2574,352100.0,NEAR BAY,1.4071711290919218
-122.25,37.85,52.0,7.150701457592526,5.4638318050256105,6.326149473155099,5.393627546352362,5.6431,341300.0,NEAR BAY,1.325768491824848
-122.25,37.85,52.0,7.395107546562485,5.638354669333745,6.338594078203183,5.560681631015528,3.8462,342200.0,NEAR BAY,1.3298922753130074
-122.25,37.85,52.0,6.824373670043086,5.365976015021851,6.025865973825314,5.267858159063328,4.0368,269700.0,NEAR BAY,1.295474073898854
-122.25,37.84,52.0,7.8383433155571165,6.194405391104672,6.9985096422506015,6.244166900663736,3.6591,299200.0,NEAR BAY,1.2553065028937525
-122.25,37.84,52.0,8.040768994367578,6.5337888379333435,7.05444965813294,6.473890696352274,3.12,241400.0,NEAR BAY,1.242030391229522
-122.26,37.84,42.0,7.846198815497425,6.501289670540389,7.095893221097532,6.39024066706535,2.0804,226700.0,NEAR BAY,1.227840894308713
-122.25,37.84,52.0,8.174702882469461,6.56244409369372,7.347299700743164,6.5722825426940075,3.6912,261100.0,NEAR BAY,1.2438148891752627
-122.26,37.85,52.0,7.697575346802343,6.075346031088684,6.814542897259958,5.998936561946683,3.2031,281500.0,NEAR BAY,1.283156650735517
-122.26,37.85,52.0,8.161660452056282,6.6240652277998935,7.316548177182976,6.5998704992128365,3.2705,241800.0,NEAR BAY,1.2366394845216613
-122.26,37.85,52.0,7.820840879907344,6.163314804034641,7.002155954403621,6.150602768446279,3.075,213500.0,NEAR BAY,1.271556817167529
-122.26,37.84,52.0,6.546785410760524,5.2574953720277815,5.846438775057725,5.1647859739235145,2.6736,191300.0,NEAR BAY,1.267581162862234
-122.26,37.85,52.0,7.880048200971577,6.440946540632921,7.10085190894405,6.431331081933479,1.9167,159200.0,NEAR BAY,1.22525929711623
-122.26,37.85,50.0,7.02197642307216,5.648974238161206,6.548219102762372,5.579729825986222,2.125,140000.0,NEAR BAY,1.2584796472347153
-122.27,37.85,52.0,7.584264818389059,5.8522024797744745,6.677083461247136,5.805134968916488,2.775,152500.0,NEAR BAY,1.3064751911883008
